Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),InteriorLights:Electricity [J](Monthly),Electricity:HVAC [J](Monthly),Electricity:Plant [J](Monthly),Gas:Facility [J](Monthly),Gas:Plant [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:Building [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),Electricity:HVAC [J](RunPeriod),Electricity:Plant [J](RunPeriod),Gas:Facility [J](RunPeriod),Gas:Plant [J](RunPeriod) 
January,15904010053.381899,11223810000.0,7121250000.0,739808411.6472724,3940391641.7345998,15682372289.074152,15682372289.074152 
February,14147282545.524975,9883800000.0,6226200000.0,649438229.3375741,3614044316.187423,14084463511.726992,14084463511.726992 
March,15461163196.63444,10568070000.0,6589350000.0,684467097.936215,4208626098.69823,15372199724.634892,15372199724.634892 
April,16424291087.61078,10777140000.0,6822900000.0,676285029.8955363,4970866057.715237,15835276357.637824,15835276357.637824 
May,16943981790.641928,11223810000.0,7121250000.0,705441026.8004514,5014730763.841462,16528470940.961031,16528470940.961031 
June,14607892561.053017,10121400000.0,6291000000.0,618565744.4696434,3867926816.583373,15751816568.05551,15751816568.05551 
July,16325609130.394352,11223810000.0,7121250000.0,708544331.4567705,4393254798.937558,16602058075.235533,16602058075.235533 
August,15568412904.441092,10895940000.0,6855300000.0,678557610.9040805,3993915293.5370018,16450348389.534417,16450348389.534417 
September,14881607362.083178,10449270000.0,6556950000.0,649382120.5078307,3782955241.5753309,15949141790.373665,15949141790.373665 
October,15178742774.984963,11223810000.0,7121250000.0,761892152.6305316,3193040622.354428,15627053448.914452,15627053448.914452 
November,14129253170.244294,10449270000.0,6556950000.0,686021229.3021245,2993961940.9421775,15131173994.233725,15131173994.233725 
December,14907966664.586064,10895940000.0,6855300000.0,713167950.8729521,3298858713.713127,15618250820.754248,15618250820.754248,184480213241.58134,128936070000.0,81238950000.0,8271570935.761451,47272572305.82003,188632625911.14094,188632625911.14094 
